Do you own a wireless speaker?,How often do you use your wireless speaker?,How would you rate the sound quality of your wireless speaker?,Please tell us a bit more about your rating of the sound quality of your wireless speaker. ,What's most important to you in a wireless speaker? [Sound quality],What's most important to you in a wireless speaker? [Battery life],What's most important to you in a wireless speaker? [Design/Looks],"What's most important to you in a wireless speaker? [Connectivity options (e.g., Bluetooth, Wi-Fi)]",What's most important to you in a wireless speaker? [Durability],What's most important to you in a wireless speaker? [Price],Which brands of wireless speakers do you own or have used before? (Select all that apply) ,"What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Recommendation from friends/family]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Online reviews from other customers]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Expert reviews]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Brand reputation]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Price]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Specific features]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Advertising]",How happy are you with your wireless speaker?,What would make your wireless speaker better?,What do you mostly use your wireless speaker for? (Select all that apply),Have any other lifestyle changes in the past year changed how you use wireless speakers? (Select all that apply),How much did you spend on your wireless speaker? (US dollars),How likely are you to buy a new wireless speaker in the next 12 months?,Where do you like to buy wireless speakers?,How do you think about and evaluate the price when buying a wireless speaker? ,How old are you?,What is your gender?,What's your annual household income?,"Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below.","Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below."
YES,SEVERAL TIMES A WEEK,EXCELLENT,CLEAR BASS. BALANCED SOUND. ,6,5,2,3,4,1,JBL,2,3,4,5,3,3,1,5,A LITTLE LOUDER ,LISTENING TO MUSIC,MY CHILD LIKES TO LISTEN TO MUSIC TOO,$200 TO $300,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","BRAND, AND SOUND QUALITY.  ",25-34,MALE,"$50,000-$75,000",NA,NA
YES,SEVERAL TIMES A WEEK,AVERAGE,NOT A LOT OF TREBLE OR BASS SOUNDS NOT VERY DYNAMIC ,1,2,4,6,5,3,JBL,1,2,3,4,5,3,1,2,BETTER SOUND QUALITY AND LOUDNESS,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,4,FACEBOOK MARKETPLACE,MY BUDGET,25-34,MALE,"LESS THAN $25,000",LOUD GOOD BASS AND PRICE,Loud good bass and price
YES,SEVERAL TIMES A WEEK,GOOD,IT IS SMALL BUT SUPER LOUD AND HOLD BATTERY,6,3,4,5,2,1,"BOSE, JBL",2,1,3,5,4,5,4,5,LOUDER,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),UNDER 40,18-24,FEMALE,PREFER NOT TO SAY,THANKS,thanks
YES,DAILY,EXCELLENT,GGGGGGGGGGGGGGGGG,1,2,3,4,5,6,JBL,1,2,2,1,3,3,4,4,XXXXXXXXXXXXXXXXXX,"GAMING, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL)","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,4,BRAND WEBSITES,AAAAAAAAAAAAAAA,45-54,PREFER NOT TO SAY,"$50,000-$75,000",AAAAAAAAAA,aaaaaaaaaa
YES,DAILY,EXCELLENT,I LOVE MY SOUND QUALITY ESPECIALLY WITH A SONG THAT HAS A GOOD BASS,6,4,3,2,5,1,"BOSE, JBL, SAMSUNG, SONY, SONOS",5,4,3,3,3,3,2,5,ELONGATING BATTERY LIFE,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",- MORE THAN $300,1,SONOS,IMPORTANT BUT NOT A DEAL BREAKER,Under 18,FEMALE,"MORE THAN $100,000",NONE,None
YES,RARELY (FEWER THAN ONCE A MONTH),EXCELLENT,IT DOESN’T HAVE A TRACE OF STATIC AND SOUNDS AS IF YOU’RE LISTENING TO THE MUSIC BUT WITH HEADPHONES IN (OBVIOUSLY THAT CHANGES THE FURTHER YOU GO FROM IT BUT THE MUSIC IS CRISP AND CLEAR AND ISN’T HINDERED BY STATIC). ITS RANGE ISN’T INCREDIBLE BUT IT IS DECENT ENOUGH FOR WHATEVER FUNCTION I NEED IT AT. ,1,2,6,5,4,3,"JBL, SAMSUNG, SONY",5,4,3,1,4,1,1,4,IF THEY HAD MORE RANGE ,LISTENING TO MUSIC,WORKING FROM HOME MORE,$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I THINK OF MY WILLINGNESS TO PAY FOR 1 GENERIC WIRELESS SPEAKER AND THEN COMPARE THAT WILLINGNESS TO THE PRICE BEFORE ME.,Under 18,MALE,"$75,000-$100,000",AWESOME SURVEY - MAYBE ADD A CHOICE IF NO EXTERNAL FACTOR HAS AFFECTED YOUR USAGE OF THE SPEAKER ASIDE FROM OTHER ,Awesome survey - maybe add a choice if no external factor has affected your usage of the speaker aside from other 
YES,1-3 TIMES A MONTH,GOOD,THERE’S NEVER BEEN ISSUES EXCEPT FOR WHEN MY PHONE GOES FAR AWAY FROM THE SPEAKER ,2,4,5,1,3,6,BOSE,1,3,2,4,5,5,5,4,IF IT LASTED LONGER AND DIDN’T DIE SO FAST,LISTENING TO MUSIC,HOME WORKOUTS,$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I LOOK AT THE RATINGS ,Under 18,FEMALE,PREFER NOT TO SAY,NOPE ,Nope 
YES,ONCE A WEEK,AVERAGE,IT’S NOT VERY LOUD BUT STILL DOES THE JOB,3,5,1,4,2,6,JBL,3,5,3,1,5,1,1,3,"IF IT HAD BETTER BATTERY LIFE AND COULD
BE LOUDER",LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I JUST WANT IT TO BE CHEAP AND ABLE TO HEAR MUSIC WELL,18-24,FEMALE,"MORE THAN $100,000",N/A,N/A
YES,DAILY,AVERAGE,COULD USE MORE BASS. ,6,2,1,4,3,5,SONY,4,4,4,3,3,3,1,3,I BELIEVE IT CAN ALWAYS BE LOUDER. ,"LISTENING TO MUSIC, VIDEO/AUDIO CALLS (WORK/PERSONAL)","WORKING FROM HOME MORE, HOME WORKOUTS",$50 TO $100,4,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),LOOK ONLINE AT COMPANY WEBSITES,35-44,MALE,"$75,000-$100,000",MY SPEAKER IS NOT TOO BULKY WHICH IS GOOD. ,My speaker is not too bulky which is good. 
YES,SEVERAL TIMES A WEEK,POOR,IT SOUND HAS NO BASE IN IT,1,2,6,3,5,4,P30,4,1,1,1,5,2,1,3,IF IT HAS A BASE IN ITS SOUND,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),THOSE OF GOOD QUALITY ARE SO EXPENSIVE ,18-24,FEMALE,PREFER NOT TO SAY,THANK YOU,Thank you
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,GOOD,"WELL , IT IS NICE AND IT HAS A NICE BASS AS I WANTED, IT SOUND NICE AND THE FEAL OF EVERY BEAT IS THERE",6,5,2,3,1,4,"JBL, IX-BASS",1,1,1,4,5,5,1,4,"BATTERY LIFE AND MORE OF BASS IN THE SOUND ,BUT IS PERFECT , BUT ALSO THE VOLUME WITH JUST BEAT NOT THE HIGHER NOTES WOULD BETTER, HOPE YOU GET IT","LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,5,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),THE QUANTITY OF THE SOUND I NEED ,18-24,FEMALE,"$50,000-$75,000","NO COMMENT , THANK YOU FOR THE SURVEY","No comment , thank you for the survey"
YES,DAILY,GOOD,"ITS GOOD, NOT THE BEST THOUGH. I THINK IF THEY MAKE A FEW CHANGES IN THE QUALITY OF THE SOUND IT'D BE THE BEST",6,5,4,2,3,1,"JBL, SONY, AIRPODS, AUDIONIC",2,2,1,1,1,2,1,4,SOUND QUALITY AND BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, VIDEO/AUDIO CALLS (WORK/PERSONAL)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,5,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IF THE QUALITY IS GOOD THE PRICE IS WORTH IT ,18-24,FEMALE,PREFER NOT TO SAY,THE USUAL PROBLEM I HAVE WITH MY HEADSET OR AIRPODS IS THAT THEY EITHER DONT HAVE GOOD BATTERY LIFE OR SOUND QUALITY I THINK A LOT OF BRANDS JS FOCUS ON HOW THE PRODUCT LOOKS ON THE OUTSIDE RATHER THAN THE QUALITY ,The usual problem i have with my headset or airpods is that they either dont have good battery life or sound quality i think a lot of brands js focus on how the product looks on the outside rather than the quality 
YES,DAILY,GOOD,IT'S KINDA NOT SATISFYING BUT I'M OKAY WITH IT.,6,5,2,1,3,4,JBL,3,3,1,4,5,5,3,3,INTEGRATION OF VOICE ASSISTANT MAYBE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$50 TO $100,5,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),GIVEN THE QUALITIES AND FEATURES I WANT AND THE BRAND REPUTATION. I ANALYZE HOW THEY MATCH THE PRICE AND FROM THERE I CAN GO FOR IT.,18-24,MALE,"LESS THAN $25,000",I DO PREFER SPEAKERS WITH LESS COLOR COMPONENTS (MY SPEAKER HAS TO BE ONE-COLORED).,I do prefer speakers with less color components (My speaker has to be one-colored).
YES,SEVERAL TIMES A WEEK,AVERAGE,NOT TOO GOOD BUT NOT TOO TERRIBLE ,6,4,5,3,1,2,SONY,3,1,1,4,5,4,3,2,MORE DURABILITY AND IMPROVED SOUND QUALITY,"WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,4,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",SOUND QUALITY AND DURABILITY ARE ESSENTIAL CONSIDERATIONS.,25-34,FEMALE,"LESS THAN $25,000",A VOICE ASSISTANT LIKE SIRI OR SOMETHING SIMILAR WOULD BE A GREAT FEATURE IN A SPEAKER,A voice assistant like Siri or something similar would be a great feature in a speaker
YES,DAILY,EXCELLENT,PERFECT,1,2,3,6,4,5,JBL,5,4,5,3,4,5,1,5,SOUND QUALITY,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$50 TO $100,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),EXPENSIVE,25-34,MALE,"LESS THAN $25,000",NOTHING,Nothing
YES,ONCE A WEEK,GOOD,GREAT,6,5,1,3,4,2,REDMI,1,3,2,2,2,1,1,4,FOR IT TO BE LOUDER ,"LISTENING TO MUSIC, VIDEO/AUDIO CALLS (WORK/PERSONAL)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),EVALUATION BY PRICES SEEN ONLINE FOR THE PRODUCT.,18-24,FEMALE,PREFER NOT TO SAY,NONE,None
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,GOOD,6,5,4,3,2,1,BOSE,1,1,1,1,1,1,1,1,BRAND,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",GOOD ,Under 18,FEMALE,"LESS THAN $25,000",NO,No
YES,DAILY,EXCELLENT,GOOD,6,5,4,3,2,1,MARSHALL,4,4,4,4,4,4,4,5,BRAND,"WATCHING MOVIES/TV SHOWS, GAMING","MORE ONLINE SOCIAL INTERACTIONS, HOME WORKOUTS",$100 TO $200,5,BRAND WEBSITES,NOTHING,25-34,MALE,"LESS THAN $25,000",NO,NO
YES,SEVERAL TIMES A WEEK,EXCELLENT,BRAND,6,5,4,3,2,1,JBL,2,2,2,2,2,2,2,4,YES,LISTENING TO MUSIC,MORE ONLINE SOCIAL INTERACTIONS,$50 TO $100,4,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",GOOD ,18-24,FEMALE,PREFER NOT TO SAY,NO,No
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,10/10,4,5,1,3,6,2,OPPO,3,4,4,3,5,5,3,4,EASE OF USE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS",WORKING FROM HOME MORE,$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",BASED ON QUALITY ,25-34,MALE,"$50,000-$75,000",THANKS,Thanks
YES,SEVERAL TIMES A WEEK,GOOD,DECENT ,6,5,4,3,2,1,"JBL, ",2,1,1,2,2,2,1,4,LOUD SOUND ,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",SOUND QUALITY ,18-24,MALE,"LESS THAN $25,000",IF THE SOUND QUALITY IMPROVE THEN IT'S OKK TO BUY,If the sound quality improve then it's okk to buy
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,IT SOUNDS GOOD,5,3,6,4,1,2,JBL,3,4,4,4,4,3,2,5,MAYBE A BEING A LITTLE LOUDER,LISTENING TO MUSIC,HOME WORKOUTS,LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",REVIEWS ARE A BIG FACTOR ,25-34,FEMALE,"MORE THAN $100,000",.,.
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,7 OUT OF 10,6,4,1,5,2,3,BOATS ,3,5,5,5,5,5,3,4,SOUND QUALITY ,LISTENING TO MUSIC,MIND RELAX ,$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",AFFORDABLE ,18-24,FEMALE,PREFER NOT TO SAY,NOTHING ,Nothing 
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,"IT’S 3 DIFFERENT MODES FOR ECHO, BASS AND LOUDNESS",6,5,1,4,2,3,G BOOM ,5,1,3,2,4,5,2,5,LONG BATTERY ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS",HOME WORKOUTS,LESS THAN $50,3,WALMART,THE BIGGER THE SPEAKER THE MORE EXPENSIVE IT IS ,18-24,MALE,"$25,000-$50,000",YOU SELL SPEAKERS?,You sell speakers?
YES,SEVERAL TIMES A WEEK,AVERAGE,"IT IS AN OKAY SOUND QUALITY. IT GETS LOUD ENOUGH FOR MY DORM ROOM, AND QUIET ENOUGH AS WELL. I LIKE SPEAKING TO IT BECAUSE IT UNDERSTAND SPEECH.",3,5,4,1,6,2,AMAZON,3,4,4,5,3,2,2,4,IF IT COULD COME WIRELESS BECAUSE IT NEEDS TO BE PLUGGED IN AT ALL TIMES,LISTENING TO MUSIC,WORKING FROM HOME MORE,LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","I LOOK AT THE PRICES OF OTHER BRANDS, AND COMPARE IT TO THE PRODUCT I AM LOOKING AT",18-24,MALE,"LESS THAN $25,000",N/A,N/A
YES,SEVERAL TIMES A WEEK,AVERAGE,"THE SOUND QUALITY COULD BE BETTER BUT IT'S NOT BAD AT ALL. CONSIDERING IT IS AN EASILY
MANUFACTURED DROPSHIPPED PRODUCT, I EXPECTED LOW QUALITY PRIOR TO MY PURCHASE. THE SOUND QUALITY IS MUFFLED AND THE LOUDEST VOLUME IS NOT THAT LOUD. HOWEVER, WHEN THE SPEAKER HAS A LOW BATTERY OR IS TURNED ON, THE VOLUME WILL INCREASE.",3,2,4,5,1,6,"JBL, AMAZON UNSPECIFIED BRAND",1,3,1,2,5,5,3,4,"I WOULD BE HAPPIER WITH MY SPEAKER IF THE SOUND QUALITY WAS BETTER, AND IF THE LOUDEST SETTING ON THE SPEAKER WAS MUCH LOUDER",LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",LESS THAN $50,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","CONSIDERING I AM A COLLEGE STUDENT, THE PRICE OF THE SPEAKER NEEDS TO BE WITHIN MY BUDGET. WHEN I PURCHASE A SPEAKER, I AM MAKING AN INVESTMENT, SO I UNDERSTAND IF THE PRICE OF THE SPEAKER IS HIGH. I NEED TO FIND A HAPPY MEDIUM BETWEEN THE QUALITY OF THE SPEAKER AND THE PRICE.",18-24,FEMALE,"$75,000-$100,000",N/A,N/A
YES,SEVERAL TIMES A WEEK,EXCELLENT,10/10,4,3,2,1,6,5,SAMSUNG,1,3,3,3,3,3,3,4,NOTHING ,LISTENING TO MUSIC,WORKING FROM HOME MORE,$100 TO $200,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",IF IT’S GOOD IT WOULD BE HIGHER IN PRICE COMPARED TO LOWER PRICES.,18-24,FEMALE,PREFER NOT TO SAY,N/A,n/a
YES,1-3 TIMES A MONTH,GOOD,LOUD,1,4,2,5,3,6,JBL,4,4,3,3,3,3,2,3,IDK,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",REVIEWS,18-24,PREFER NOT TO SAY,PREFER NOT TO SAY,NO,No
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,AVERAGE,ITS OK,6,4,1,3,2,5,"BOSE, JBL",2,3,4,4,4,3,4,3,NONE,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS",WORKING FROM HOME MORE,LESS THAN $50,4,BRAND WEBSITES,ONLINE REVIEWS,25-34,MALE,"LESS THAN $25,000",NONE,None
YES,SEVERAL TIMES A WEEK,GOOD,IT’S PRETTY LOUD FOR A SMALL SPEAKER ,6,5,1,3,2,4,JBL,2,3,3,3,3,3,3,4,MORE BASS,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$50 TO $100,5,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),THE TYPE OF FEATURES IT HAS AND THE QUALITY OF SOUND ,25-34,MALE,"$25,000-$50,000",I DON’T ,I don’t 
YES,RARELY (FEWER THAN ONCE A MONTH),GOOD,CLEAR AND CRISP SOUND,2,3,1,4,5,6,"BOSE, JBL, SAMSUNG, SONY",1,5,3,5,5,5,1,4,LONGER BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, GAMING, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I FACTOR THE SPECS IN WITH THE PRICE AND SEE WHAT’S WORTH IT TO ME. ,25-34,MALE,"LESS THAN $25,000",NONE,None
YES,RARELY (FEWER THAN ONCE A MONTH),EXCELLENT,I LIKE THE BASS AND IT’S VERY CLEAR. ,3,4,5,1,2,6,SONY,3,5,4,1,2,2,1,4,N/A,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",$100 TO $200,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I ASK MY HUSBAND SINCE HE’S THE TECH SAVVY ONE AND IF I LIKE HOW IT LOOKS AND THE PRICE IS IN RANGE THEN IT WORKS! ,25-34,FEMALE,"LESS THAN $25,000",NONE,None
YES,DAILY,GOOD,"IT’S REALLY GOOD QUALITY SOUND WISE, AND THEY ARE ALSO NOISE CANCELLING WHICH I LIKE A LOT.",6,5,4,3,2,1,"JBL, BEATS",3,1,1,1,1,1,1,4,IF IT CAME IN DIFFERENT COLORS.,"LISTENING TO MUSIC, VIDEO/AUDIO CALLS (WORK/PERSONAL)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",JUST DEPENDS ON THE QUALITY AND IF THE PRICES MATCHES WITH THAT.,18-24,FEMALE,PREFER NOT TO SAY, N/A, n/a
YES,ONCE A WEEK,GOOD,THE SOUND QUALITY IS GOOD AND CLEAR.,4,3,1,2,6,5,JBL,5,4,5,3,5,4,3,3,THE BATTERY LIFE WOULD MAKE MY SPEAKER BETTER.,WATCHING MOVIES/TV SHOWS,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I EVALUATE THE PRICE BY COMPARING THEM TO SPEAKERS I SEE IN STORES.,18-24,MALE,"$25,000-$50,000",N/A,N/A
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,RARELY (FEWER THAN ONCE A MONTH),AVERAGE,I DON’T USE IT BUT IT WORKS ,3,5,6,1,4,2,JBL,4,3,2,3,5,2,1,3,I DON’T USE IT,LISTENING TO MUSIC,NONE,$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",COMPARE IT TO SIMILAR ITEMS,25-34,FEMALE,"$50,000-$75,000",NA,Na
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,GOOD,I USE MY AMAZON ALEXA SO NOT THE BEST BUT IT WORKS!,2,4,6,1,5,3,AMAZON ALEXA,1,1,1,2,4,2,2,5,BETTER SOUND QUALITY,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I WOULD SPEND AROUND $50 FOR ONE SINCE I ALREADY HAVE ONE THAT WORKS. ,18-24,FEMALE,PREFER NOT TO SAY,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,ITS GREAT. I ENJOY IT. IT COULD BE BETTER BUT I DONT MIND. ,6,5,1,2,3,4,"JBL, ",3,3,3,3,3,3,3,4,BETTER SOUND QUALITY  ,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IS THE SOUND QUALITY AND THE SIZE AND BATTERY LIFE WORTH IT ,18-24,MALE,PREFER NOT TO SAY,NO COMMENTS  ,no comments  
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
